month,inflation
2017-01-31,0.21863086686337851
2017-01-31,0.21177956525928465
2017-01-31,-0.02151643026815364
2017-01-31,0.11271062246107633
2017-01-31,0.0807707884447062
2017-01-31,0.12560219149690965
2017-01-31,0.09489192363938415
2017-01-31,0.21802910405002152
2017-01-31,0.1096276529758633
2017-01-31,0.2820252373918031
2017-01-31,0.11432131839441695
2017-01-31,0.20780863901581625
2018-01-31,0.3375543880424381
2018-01-31,0.1984675205934039
2018-01-31,0.21875777793880502
2018-01-31,0.1399880517396035
2018-01-31,0.20047692958451435
2018-01-31,0.09872820230407697
2018-01-31,0.11648270190161014
2018-01-31,0.07447778617706291
2018-01-31,0.18479101990944713
2018-01-31,0.21226217892555965
2018-01-31,0.20140605161520497
2018-01-31,0.2402301820183972
2019-01-31,0.2699544099611373
2019-01-31,0.1609343735245794
2019-01-31,0.1457667645953009
2019-01-31,0.16425884769839527
2019-01-31,0.08393519170262209
2019-01-31,0.19887387592332217
2019-01-31,0.20569606449631905
2019-01-31,0.2264980850958942
2019-01-31,0.1934635682399488
2019-01-31,0.21988908621519698
2019-01-31,0.21790032711344054
2019-01-31,0.1775878623420546
2020-01-31,0.26129279642779224
2020-01-31,0.24490450110326023
2020-01-31,-0.11825817584059095
2020-01-31,-0.4909919773632865
2020-01-31,-0.1257629722313247
2020-01-31,0.16451427775105998
2020-01-31,0.5776048524482214
2020-01-31,0.3855842003412491
2020-01-31,0.1901908995113999
2020-01-31,0.13860016078774962
2020-01-31,0.25033065973882884
2020-01-31,0.1332538942593331
2021-01-31,0.017014099551282413
2021-01-31,0.1500425278718076
2021-01-31,0.24564237103330555
2021-01-31,0.8075344872613854
2021-01-31,0.6574118828532427
2021-01-31,0.7904350557695672
2021-01-31,0.35844071891277807
2021-01-31,0.12516925483625485
2021-01-31,0.25094205885531906
2021-01-31,0.7018622741735037
2021-01-31,0.6151426115857284
2021-01-31,0.6240061332444924
2022-01-31,0.551460736583298
2022-01-31,0.5272780593516657
2022-01-31,0.27124931541102626
2022-01-31,0.5031326934382463
2022-01-31,0.5317764519700674
2022-01-31,0.6780288484448782
2022-01-31,0.35237960344849384
2022-01-31,0.489163837556017
2022-01-31,0.5686333019316869
2022-01-31,0.3925543631263295
2022-01-31,0.30880896408485015
2022-01-31,0.35531572866078776
2023-01-31,0.41322099206544394
2023-01-31,0.4881636024040681
2023-01-31,0.33614028728932155
2023-01-31,0.45350513655506575
2023-01-31,0.36405949820554895
2023-01-31,0.21754173527712695
2023-01-31,0.2067127268191804
2023-01-31,0.2004721465526771
2023-01-31,0.30929572050313325
2023-01-31,0.29517896145607736
2023-01-31,0.299752247769014
2023-01-31,0.2567190306102418
2024-01-31,0.35823940249155584
2024-01-31,0.3953120250323572
2024-01-31,0.3883893071813027
2024-01-31,0.27015924924196355
2024-01-31,0.14030807154066238
2024-01-31,0.09269661378468186
2024-01-31,0.1725950877984772
2024-01-31,0.25364431391263764
2024-01-31,0.3066442989762663
2024-01-31,0.3109909224827234
2024-01-31,0.2874046808469366
2024-01-31,0.186402000974617
2025-01-31,0.42568558964886094
2025-01-31,0.25442135972273405
2025-01-31,0.069107972435134
2025-01-31,0.23828629230466802
2025-01-31,0.13040285917949035
2025-01-31,0.23374812606453688
2025-01-31,0.3120336505006094
2025-01-31,0.3092432087367314
2025-01-31,0.2175369504074709
2025-01-31,
2025-01-31,
2025-01-31,0.2326294653894223
2026-01-31,0.29461041129712484
2026-01-31,0.21581716453402677
2026-01-31,0.19560362516681806
2026-01-31,0.3757538904973323
2026-01-31,0.20787923095433314
2026-01-31,-0.01666205488639605
2026-01-31,0.21520278676119275
2026-01-31,0.2893765898877021
