month,DTWEXBGS
2017-01-31,117.78577894736841
2017-02-28,116.12038947368421
2017-03-31,115.65584782608695
2017-04-30,114.769795
2017-05-31,114.25913181818181
2017-06-30,112.76027272727273
2017-07-31,111.060555
2017-08-31,109.90586086956522
2017-09-30,108.85424499999999
2017-10-31,110.88917619047619
2017-11-30,111.163525
2017-12-31,110.87581
2018-01-31,108.35677619047618
2018-02-28,107.6500947368421
2018-03-31,107.94717499999999
2018-04-30,107.94335714285714
2018-05-31,111.04704090909091
2018-06-30,112.84441904761906
2018-07-31,113.05953333333333
2018-08-31,113.83163043478261
2018-09-30,114.07866315789474
2018-10-31,114.83125909090909
2018-11-30,116.16904500000001
2018-12-31,116.2118052631579
2019-01-31,114.44248999999999
2019-02-28,114.41300555555556
2019-03-31,114.78351904761905
2019-04-30,114.90375454545455
2019-05-31,115.95738181818182
2019-06-30,115.42707
2019-07-31,115.0775909090909
2019-08-31,117.10038636363637
2019-09-30,117.32392
2019-10-31,116.74625909090909
2019-11-30,116.55946842105263
2019-12-31,115.90961
2020-01-31,115.27938571428571
2020-02-29,116.71054210526317
2020-03-31,121.02274090909091
2020-04-30,123.28034545454544
2020-05-31,122.61501000000001
2020-06-30,119.67660454545454
2020-07-31,118.69004999999999
2020-08-31,116.94534761904762
2020-09-30,116.34313333333334
2020-10-31,115.77981428571428
2020-11-30,114.09840000000001
2020-12-31,111.89921428571428
2021-01-31,111.48727222222222
2021-02-28,112.01705263157895
2021-03-31,113.33664347826087
2021-04-30,112.63228636363637
2021-05-31,111.21226999999999
2021-06-30,111.57769545454545
2021-07-31,113.06331904761906
2021-08-31,113.40253636363636
2021-09-30,113.44374761904761
2021-10-31,114.06348499999999
2021-11-30,114.989795
2021-12-31,115.8045380952381
2022-01-31,115.03728000000001
2022-02-28,114.99774210526316
2022-03-31,116.29083913043478
2022-04-30,117.16879523809523
2022-05-31,119.69619047619047
2022-06-30,120.02570952380954
2022-07-31,122.7512
2022-08-31,122.31775217391305
2022-09-30,125.59460000000001
2022-10-31,127.480605
2022-11-30,124.85272
2022-12-31,122.23432857142858
2023-01-31,119.81006500000001
2023-02-28,120.30837368421054
2023-03-31,120.74501304347825
2023-04-30,119.24514500000001
2023-05-31,119.62925454545456
2023-06-30,119.29695238095238
2023-07-31,118.04916499999999
2023-08-31,119.85634782608695
2023-09-30,121.64553000000001
2023-10-31,123.49714761904761
2023-11-30,121.22211999999999
2023-12-31,119.83314
2024-01-31,120.22735714285714
2024-02-29,121.06594
2024-03-31,120.65883333333333
2024-04-30,122.14281363636364
2024-05-31,121.8583409090909
2024-06-30,123.70947894736841
2024-07-31,123.38243636363636
2024-08-31,122.61374090909091
2024-09-30,121.88485499999999
2024-10-31,123.5952909090909
2024-11-30,126.31133684210526
2024-12-31,127.57578095238097
2025-01-31,128.83695238095237
2025-02-28,127.87583157894737
2025-03-31,126.24304285714285
2025-04-30,124.14020000000001
2025-05-31,122.3421619047619
2025-06-30,120.59387
2025-07-31,120.11269090909092
2025-08-31,120.57584285714286
2025-09-30,120.0290619047619
2025-10-31,120.7618
2025-11-30,121.41771666666666
2025-12-31,120.18832272727272
2026-01-31,119.22981
2026-02-28,117.90602105263157
2026-03-31,119.91985454545456
2026-04-30,119.03631818181817
2026-05-31,118.77918500000001
2026-06-30,120.08344761904762
2026-07-31,120.59704545454544
2026-08-31,118.86539499999999
