month,GPR,GPRT,GPRA,GPRC_USA
2014-04-30,93.22154235839844,113.13993072509766,60.90629959106445,2.1098711490631104
2014-05-31,83.4288558959961,91.6987533569336,76.15043640136719,1.802445888519287
2014-06-30,98.76710510253906,95.32296752929688,107.18201446533203,2.1296002864837646
2014-07-31,138.7539520263672,162.71510314941406,118.54683685302734,2.9183337688446045
2014-08-31,136.44558715820312,158.59349060058594,112.11448669433594,2.797318458557129
2014-09-30,131.55665588378906,143.3953857421875,120.78192138671875,2.9062299728393555
2014-10-31,83.66100311279297,86.33345031738281,77.19393157958984,1.7717283964157104
2014-11-30,84.38005065917969,88.46994018554688,76.33753204345703,1.7623627185821533
2014-12-31,86.5262222290039,81.27322387695312,96.23736572265625,1.7766165733337402
2015-01-31,111.9856948852539,83.50390625,153.33984375,2.1024417877197266
2015-02-28,111.92469787597656,118.22520446777344,107.79053497314453,2.4174420833587646
2015-03-31,104.23526763916016,117.48873138427734,83.63285064697266,2.496189832687378
2015-04-30,102.19049072265625,110.18872833251953,95.08645629882812,2.4401650428771973
2015-05-31,76.2623291015625,77.66873168945312,72.86188507080078,1.6674505472183228
2015-06-30,85.90596771240234,81.06608581542969,88.7894287109375,1.9097522497177124
2015-07-31,106.80866241455078,120.84297180175781,86.16881561279297,2.4546518325805664
2015-08-31,82.47853088378906,85.33859252929688,74.0282974243164,1.8612760305404663
2015-09-30,98.7674560546875,115.88518524169922,79.34535217285156,2.2881503105163574
2015-10-31,91.931884765625,79.726318359375,108.51441955566406,2.0396578311920166
2015-11-30,150.71588134765625,113.04398345947266,213.99351501464844,3.168949842453003
2015-12-31,148.23687744140625,115.224365234375,204.6312713623047,3.349400043487549
2016-01-31,118.21114349365234,124.23914337158203,109.52909851074219,2.507415533065796
2016-02-29,103.74964904785156,91.322021484375,117.58201599121094,2.245816707611084
2016-03-31,109.72029113769531,98.02693176269531,127.76814270019531,2.448961019515991
2016-04-30,85.22145080566406,80.82244110107422,93.12298583984375,2.012362241744995
2016-05-31,88.3324203491211,84.46136474609375,93.63965606689453,1.9210634231567383
2016-06-30,90.16812896728516,80.51286315917969,100.85737609863281,1.7746731042861938
2016-07-31,114.6104507446289,97.0980453491211,145.14874267578125,2.4603447914123535
2016-08-31,98.73848724365234,82.44046783447266,121.45369720458984,2.1500930786132812
2016-09-30,104.54522705078125,95.48959350585938,121.15049743652344,2.6114134788513184
2016-10-31,85.74778747558594,79.64808654785156,100.30767822265625,1.997644066810608
2016-11-30,82.91875457763672,81.22564697265625,83.97505950927734,1.917850375175476
2016-12-31,102.18046569824219,93.9366226196289,113.97946166992188,2.2972464561462402
2017-01-31,105.20123291015625,108.2770004272461,103.17117309570312,2.5729334354400635
2017-02-28,114.20635986328125,125.66468048095703,97.15160369873047,3.023460626602173
2017-03-31,96.63587951660156,95.83842468261719,95.67454528808594,2.1438183784484863
2017-04-30,119.45992279052734,127.44654846191406,108.06884002685547,3.0787012577056885
2017-05-31,102.57996368408203,102.35460662841797,99.70480346679688,2.518277883529663
2017-06-30,126.78901672363281,113.16846466064453,146.67166137695312,2.858617067337036
2017-07-31,102.81346130371094,125.59920501708984,71.9550552368164,2.6227943897247314
2017-08-31,138.5316162109375,160.02310180664062,108.43595123291016,3.556932210922241
2017-09-30,115.5344467163086,142.1448974609375,84.09626770019531,2.881110429763794
2017-10-31,91.4615707397461,109.23060607910156,69.15699768066406,2.098043918609619
2017-11-30,92.59601593017578,103.94397735595703,80.11587524414062,2.1755597591400146
2017-12-31,82.71825408935547,95.908447265625,62.65747833251953,2.001279354095459
2018-01-31,92.42678833007812,107.64431762695312,75.66629028320312,2.203904628753662
