mthcaldt,vwretd,sprtrn
30/11/2022,0.052354,0.053753
30/12/2022,-0.057120,-0.058972
31/01/2023,0.071823,0.061753
28/02/2023,-0.024666,-0.026113
31/03/2023,0.023950,0.035052
28/04/2023,0.008976,0.014642
31/05/2023,0.000709,0.002482
30/06/2023,0.066183,0.064728
31/07/2023,0.035618,0.031139
31/08/2023,-0.020608,-0.017716
29/09/2023,-0.047391,-0.048719
31/10/2023,-0.028865,-0.021980
30/11/2023,0.092053,0.089179
29/12/2023,0.053604,0.044229
31/01/2024,0.007560,0.015896
29/02/2024,0.050583,0.051721
28/03/2024,0.032450,0.031019
30/04/2024,-0.042724,-0.041615
31/05/2024,0.046552,0.048021
28/06/2024,0.026073,0.034670
31/07/2024,0.019877,0.011321
30/08/2024,0.021570,0.022835
30/09/2024,0.020970,0.020197
31/10/2024,-0.008299,-0.009897
29/11/2024,0.064859,0.057301
31/12/2024,-0.031581,-0.024990
31/01/2025,0.032292,0.027016
28/02/2025,-0.017566,-0.014242
31/03/2025,-0.055123,-0.057545
30/04/2025,-0.003610,-0.007625
30/05/2025,0.061267,0.061524
30/06/2025,0.049246,0.049607
31/07/2025,0.019791,0.021667
29/08/2025,0.024123,0.019066
30/09/2025,0.035626,0.035324
31/10/2025,0.019284,0.022687
28/11/2025,0.001997,0.001300
31/12/2025,0.001297,-0.000524
